Country or Area	Geographical subregion	Continental region
Algeria	Northern Africa	Africa
Egypt	Northern Africa	Africa
Libya	Northern Africa	Africa
Morocco	Northern Africa	Africa
Sudan	Northern Africa	Africa
Tunisia	Northern Africa	Africa
Western Sahara (disputed)	Northern Africa	Africa
British Indian Ocean Territory	Eastern Africa	Africa
Burundi	Eastern Africa	Africa
Comoros	Eastern Africa	Africa
Djibouti	Eastern Africa	Africa
Eritrea	Eastern Africa	Africa
Ethiopia	Eastern Africa	Africa
French Southern Territories	Eastern Africa	Africa
Kenya	Eastern Africa	Africa
Madagascar	Eastern Africa	Africa
Malawi	Eastern Africa	Africa
Mauritius	Eastern Africa	Africa
Mayotte	Eastern Africa	Africa
Mozambique	Eastern Africa	Africa
Réunion	Eastern Africa	Africa
Rwanda	Eastern Africa	Africa
Seychelles	Eastern Africa	Africa
Somalia	Eastern Africa	Africa
South Sudan	Eastern Africa	Africa
Uganda	Eastern Africa	Africa
United Republic of Tanzania	Eastern Africa	Africa
Zambia	Eastern Africa	Africa
Zimbabwe	Eastern Africa	Africa
Angola	Middle Africa	Africa
Cameroon	Middle Africa	Africa
Central African Republic	Middle Africa	Africa
Chad	Middle Africa	Africa
Congo [Republic of the Congo]	Middle Africa	Africa
Democratic Republic of the Congo [DR Congo]	Middle Africa	Africa
Equatorial Guinea	Middle Africa	Africa
Gabon	Middle Africa	Africa
Sao Tome and Principe	Middle Africa	Africa
Botswana	Southern Africa	Africa
Eswatini [Swaziland]	Southern Africa	Africa
Lesotho	Southern Africa	Africa
Namibia	Southern Africa	Africa
South Africa	Southern Africa	Africa
Benin	Western Africa	Africa
Burkina Faso	Western Africa	Africa
Cabo Verde [Cape Verde]	Western Africa	Africa
Côte d'Ivoire [Ivory Coast]	Western Africa	Africa
Gambia	Western Africa	Africa
Ghana	Western Africa	Africa
Guinea	Western Africa	Africa
Guinea-Bissau	Western Africa	Africa
Liberia	Western Africa	Africa
Mali	Western Africa	Africa
Mauritania	Western Africa	Africa
Niger	Western Africa	Africa
Nigeria	Western Africa	Africa
